"group","category","outcome","n","percent","lower","upper"
"Grade","11th grade","Attempted",4630,9.35866043748895,7.5444841251166,11.1728367498613
"Grade","12th grade","Attempted",3849,8.03675375978116,6.08895689072006,9.98455062884226
"Race/ethnicity","AI/AN, non-Hispanic","Attempted",1298,11.1992192855818,4.89951968476099,17.4989188864026
"Race/ethnicity","Asian, non-Hispanic","Attempted",941,7.95131243660474,4.71441116919787,11.1882137040116
"Race/ethnicity","Black, non-Hispanic","Attempted",1745,10.3371138052405,8.31035998956384,12.3638676209172
"Race/ethnicity","NH/PI, non-Hispanic","Attempted",97,15.3846153846154,0,34.4998811737241
"Race/ethnicity","White, non-Hispanic","Attempted",9400,8.31733180913579,6.85714929400197,9.7775143242696
"Race/ethnicity","Hispanic/Latino, any race","Attempted",3768,10.7562880933986,9.00567811487654,12.5068980719206
"Race/ethnicity","Multiracial, non-Hispanic","Attempted",1752,11.4320335864714,7.8823598017693,14.9817073711734
"School bullying","Yes","Attempted",3841,21.8186164296692,18.9512865009391,24.6859463583992
"School bullying","No","Attempted",15340,6.4159872201014,5.57481534926652,7.25715909093628
"Electronic bullying","Yes","Attempted",3240,25.9147083575369,22.0842263739316,29.7451903411422
"Electronic bullying","No","Attempted",15950,6.16412387780816,5.40750861418231,6.92073914143401
"Sexual violence, past year","One or more times","Attempted",1784,29.4803248901856,26.0194772196068,32.9411725607644
"Sexual violence, past year","Zero times","Attempted",13450,6.17540030633117,5.26769251790567,7.08310809475667
"Sad or hopeless","Yes","Attempted",7803,20.9962025285855,19.0737641284475,22.9186409287235
"Sad or hopeless","No","Attempted",11379,1.92773704286735,1.32868458558861,2.5267895001461
"Poor mental health, past 30 days","Most/always","Attempted",4700,20.0129187229447,18.0381736579633,21.9876637879261
"Poor mental health, past 30 days","Never/rarely/sometimes","Attempted",10630,5.15096638279041,4.00155325658001,6.30037950900081
"Binge drinking, past 30 days","One or more days","Attempted",1406,23.0810826688244,19.2420191813841,26.9201461562648
"Binge drinking, past 30 days","Zero days","Attempted",13739,7.56495877842328,6.52113495452679,8.60878260231978
"Ever used marijuana","Yes","Attempted",5065,18.6129761378481,16.6950416394054,20.5309106362909
"Ever used marijuana","No","Attempted",10952,5.17084992144166,3.91722307998564,6.42447676289769
"School-night sleep","Under 8 hours","Attempted",12950,10.794332197789,9.32787648784291,12.260787907735
"School-night sleep","8 or more hours","Attempted",3892,5.25017651812006,4.02072717250477,6.47962586373534
"Unstable housing, past 30 days","Yes","Attempted",428,35.0002569965343,26.3578344577671,43.6426795353014
"Unstable housing, past 30 days","No, including elsewhere","Attempted",13794,8.62939747774766,7.61608107001423,9.64271388548109
"Household adult substance problem","Yes","Attempted",3733,19.8924154900873,17.314134234424,22.4706967457507
"Household adult substance problem","No","Attempted",9288,6.00332268189325,4.94775963166139,7.0588857321251
"Household adult mental illness/suicidality","Yes","Attempted",4211,18.7255793293542,16.1793108157827,21.2718478429256
